subject,conditions,late_pro_prob,inhib_fail_prob,late_pro_rt,anti_rt,inhib_fail_rt,predicted_pro_rt,predicted_pro_prob,predicted_anti_rt,predicted_anti_prob,age,test_retest
1,1,0.0520176346852373,0.029591363821538,3.84074312567222,4.23424642688725,1.23874821008514,2.84382032326958,0.0819328625824144,4.23373115846557,0.918067137417586,1,1
1,2,0.986849552097637,0.0887510426473583,3.97428697576216,3.70748817481415,2.74210240801335,3.83815644295232,0.987745306556004,3.66122200841506,0.0122546934439953,1,1
2,1,0.188562460416796,0.0445023627510744,2.97400125941346,3.06974814353522,1.08052398334577,2.58835881349944,0.226949396835345,3.06021058100123,0.773050603164655,0,1
2,2,0.893494341035492,0.0883545559673789,2.65299554629008,2.43705400547018,1.18473391042315,2.48708441698397,0.902641737775384,2.39514953797351,0.0973582622246165,0,1
3,1,0.0659116986772842,0.0403441746994491,2.30112959320536,2.98684888744256,1.338842608408,1.92159825099696,0.106028887574763,2.98372017984936,0.893971112425237,1,1
3,2,0.980204477211507,0.0384332424390337,2.65750531609423,1.99909812071954,1.35505691186804,2.6056904550341,0.980653006553589,1.98551753247867,0.0193469934464112,1,1
4,1,0.0445293554783993,0.0125147659474868,3.10082767093488,3.49781764029189,1.09893772910026,2.59911438229219,0.0579449679745321,3.49770591844358,0.942055032025468,1,1
4,2,0.991238148399741,0.016679032324714,3.27718089645535,2.91057427811323,1.49348172485593,3.24251940959627,0.991348690197195,2.89706754110565,0.0086513098028054,1,1
5,1,0.162107602458537,0.460076204605178,4.21036225802126,3.92785159376102,1.91858292430242,2.18422732465091,0.549985727824988,3.38067718924665,0.450014272175012,1,1
5,2,0.930708876290498,0.115420687761917,2.37553862953054,2.40951739352797,1.3884057660009,2.18853663075602,0.941421977393732,2.3106105992646,0.0585780226062678,1,1
6,1,0.0282469503016583,0.0458632560167822,2.33181378244404,2.98553566914864,1.50097332200921,1.82319544319185,0.0746910943503643,2.98094538209151,0.925308905649636,1,1
6,2,0.920787007693217,0.16819735959594,2.93907884149319,2.22556585178527,1.60616278165632,2.68622719733611,0.93104693222598,2.18018168555781,0.06895306777402,1,1
7,1,0.031402922134467,0.0496641011589494,2.74067381805147,2.99719411670514,1.21894726192185,1.78786349633831,0.0810652939792833,2.9948118284827,0.918934706020717,0,1
7,2,0.996363532097404,0.100974356008187,2.57435259156718,2.40442792990151,1.54999830350858,2.46081671030875,0.996543848634194,2.332268373948,0.00345615136580605,0,1
8,1,0.0609919927905199,0.0419031047675857,2.94832075324168,3.54526311263067,1.54005456382425,2.38376023142941,0.102402068785386,3.53885738196493,0.897597931214614,0,1
8,2,0.942497920304546,0.564661097916837,3.56318933814045,3.29382794578817,2.39402841882311,2.59312538356994,0.971301845223071,2.53810114818419,0.0286981547769287,0,1
9,1,0.0374418990333472,0.104940728587292,2.33156242846574,2.96757010390095,1.34360348946424,1.58663069839991,0.140214642438359,2.9629953900755,0.859785357561641,0,1
9,2,0.960570978946607,0.116802024782054,2.73060739655628,2.36274917826004,1.41951681455507,2.5560043056348,0.964655523135476,2.3288326900858,0.0353444768645236,0,1
10,1,0.0269491789444134,0.0177211635267247,2.91986770428006,3.37286075284556,0.840165291948982,1.99778690313553,0.0462954236057014,3.37269192644236,0.953704576394299,0,1
10,2,0.993520574626824,0.0556285904501592,3.0688181027565,2.71376638519005,1.56404263991195,2.97681678202448,0.993779979143517,2.66574428160915,0.0062200208564833,0,1
11,1,0.0154161095081593,0.0176294880953188,2.8807341103446,3.08383743613045,1.26991761678417,1.93973597942772,0.0350535642003795,3.08286764704187,0.964946435799621,0,1
11,2,0.995251346796405,0.0863648349906613,2.74982774096461,2.61990022468742,1.52974469732389,2.63461038410701,0.99553218010673,2.56132687506934,0.00446781989326988,0,1
12,1,0.0156445778653528,0.0252770733237309,3.37146656342105,3.60911399018358,0.963248167926648,1.79744323841142,0.0421065669251763,3.6089321543031,0.957893433074824,0,1
12,2,0.979980080851898,0.0337259782934056,3.77253452257005,3.5384724064058,1.30984348497389,3.68112533324044,0.980622198192686,3.52861953235195,0.0193778018073137,0,1
13,1,0.0692622111855411,0.0456338974117446,3.34518769680433,3.76953022219641,1.20652100246488,2.47454602900258,0.113460477171727,3.766912789562,0.886539522828273,1,1
13,2,0.984993136442226,0.046059039265055,3.3123683768778,2.89321657359172,1.5572172699456,3.22567575658628,0.985620303610746,2.87812987486152,0.0143796963892543,1,1
14,1,0.0242727163998377,0.0385216439916779,2.83551422705695,3.19374934446487,1.29535229953341,1.83026767100916,0.0633547255979618,3.19303686067168,0.936645274402038,0,1
14,2,0.992865059811347,0.162359994630836,2.97090149379644,2.70637925830667,1.59710639369052,2.73483144377644,0.993640787643517,2.6150437956498,0.00635921235648275,0,1
15,1,0.0848250153232881,0.0164468887056485,2.86555662977011,3.2651364506398,0.868485598200773,2.50619474326283,0.10123901347131,3.2649262108701,0.89876098652869,0,1
15,2,0.97703819776545,0.0399754536999114,2.81909741484796,2.33464373079335,1.54272066239426,2.76340280768904,0.977789268239928,2.32595293091864,0.0222107317600721,0,1
16,1,0.0279109462888083,0.0423534401241942,2.59820975209558,2.76132669648714,1.22952100792802,1.73006868313581,0.0702766386847836,2.76030109711494,0.929723361315216,0,1
16,2,0.991037983802652,0.0849463503115393,2.53650840863114,2.33185348730207,1.32973782660061,2.42723122692422,0.991645676487061,2.30200314959955,0.0083543235129386,0,1
17,1,0.0543686809393403,0.0719759780439902,3.57962881373237,4.20388202528011,1.72894685030163,2.49152658800624,0.124373876442724,4.19854227631628,0.875626123557276,1,1
17,2,0.977794678258771,0.0589807725151825,3.29604168355085,2.97939118727798,1.48780679143446,3.17912511139235,0.978973845022044,2.96261325732758,0.0210261549779558,1,1
18,1,0.100887654598702,0.113031447210055,2.29225503167621,2.94524822406909,1.77031236663925,2.00610839326209,0.207985653917045,2.93312583484858,0.792014346082955,1,1
18,2,0.977409583201449,0.0417663331546963,2.35962777803259,1.92783174027035,1.26922587112826,2.30473401083804,0.978179794001319,1.91621536317504,0.0218202059986804,1,1
19,1,0.0162233666792447,0.113672779907997,2.99629814046445,3.18480116679354,1.27003642146633,1.45618744246958,0.129678317168369,3.1843044615676,0.870321682831631,0,1
19,2,0.970480527729516,0.503680139267263,3.33381006543554,2.94196535911938,1.70524926973483,2.48275284963486,0.98328205207677,2.81569108960678,0.0167179479232299,0,1
20,1,0.102646958274822,0.0133576188358976,3.3799600875862,3.92063024004846,0.796312458331823,3.03930205174799,0.116224132344261,3.92032104049463,0.88377586765574,1,1
20,2,0.979351354748639,0.0292086999727884,3.07588654600602,2.73838910652228,1.25687965393701,3.01752987346733,0.979891148016392,2.72988674005591,0.0201088519836076,1,1
21,1,0.140418406753597,0.064649282317788,3.75279406418063,4.14396856715882,1.56122582503398,3.0360493022122,0.198695019639325,4.13967076538434,0.801304980360676,1,1
21,2,0.974670078958098,0.0855964339750548,3.77675589807117,3.28621392414881,1.58442720549426,3.57439910014283,0.976642610887405,3.26583580188933,0.0233573891125947,1,1
22,1,0.227520287039797,0.0773014741080068,3.35047799945346,3.94662077056563,1.29523501678228,2.83399948541124,0.291353765395334,3.92418104591686,0.708646234604666,1,1
22,2,0.926998959811431,0.0816447343622844,3.320795901784,2.45268437193607,1.27040042632739,3.13789412711743,0.93219781001733,2.43241110637463,0.0678021899826698,1,1
23,1,0.197286266425907,0.180461907145975,3.83638283240073,4.34372366694976,1.84744617495133,2.74489437680568,0.347713408577504,4.26915013848524,0.652286591422496,1,1
23,2,0.876309418075702,0.164895128088377,4.13062817643078,3.27726109524791,2.06314186545355,3.70813335350028,0.893246387084307,3.17311022996023,0.106753612915693,1,1
24,1,0.0188604639784553,0.0461365996516956,2.9630445802037,3.22436429148959,1.1771169782864,1.63089859839369,0.0655154122781119,3.2236720869126,0.934484587721888,0,1
24,2,0.994464513336264,0.134506249898489,2.80998818862321,2.60864785362232,1.7093554319335,2.64612806655335,0.994972804138526,2.5396759242214,0.00502719586147456,0,1
25,1,0.0236296986735195,0.0137578020224012,3.53276703112624,4.3374819834946,0.913376371514209,2.4620695376622,0.038460271022161,4.33676992766736,0.961539728977839,0,1
25,2,0.988296380160913,0.0771795625322005,3.41639822669045,3.26377599952075,1.61108291307064,3.25611707822715,0.989093964918596,3.21684601888699,0.0109060350814042,0,1
26,1,0.0776312251252095,0.0962908616464153,2.45562319593544,2.90678189558465,1.4638686678801,1.90145891730243,0.169905939266986,2.88272713368614,0.830094060733014,1,1
26,2,0.966359967420189,0.148672745438374,2.83959387032837,2.22186370667778,1.46476232869913,2.61222852519769,0.970152205078648,2.16779563770549,0.0298477949213523,1,1
27,1,0.035154731867323,0.0279119155981397,2.84805743195427,3.27710965203008,1.02712942378414,2.02867758553975,0.0635093519291477,3.27623149648907,0.936490648070852,0,1
27,2,0.991761777754531,0.04046805028454,2.76994574525181,2.6222962590371,1.54015070426045,2.71067772551107,0.992031645642132,2.59797597024228,0.0079683543578678,0,1
28,1,0.0633786042288006,0.229609099791261,2.74152373431929,3.6606212329232,1.78846182983061,1.94624405231231,0.282862337099451,3.63704291230189,0.717137662900549,1,1
28,2,0.594605023628079,0.0626236362288406,3.03692366938559,2.906238292663,1.57768269741004,2.86831296866748,0.620041772704239,2.88896541365076,0.379958227295761,1,1
29,1,0.0273345691369656,0.0695327593232832,2.87380208384328,3.22452974263599,1.59424873080536,1.9256575318277,0.0964516127587637,3.22114942605209,0.903548387241237,0,1
29,2,0.989014484473928,0.169944240451614,3.10064837774363,2.87351300971135,1.79760230032176,2.85320244114446,0.990597625329949,2.81122961347106,0.00940237467005105,0,1
30,1,0.03818126335351,0.0214693643823066,3.29216440289457,3.90309300921583,1.02667458481939,2.42110232944344,0.0604040313685031,3.90270282097398,0.939595968631497,1,1
30,2,0.988169355528254,0.0251084963564799,3.42936722138195,3.0908736380678,1.45496879340577,3.37411402865269,0.988430344618534,3.07887897573786,0.011569655381466,1,1
31,1,0.0240654661627971,0.0759123842635104,3.55344081713068,4.29420646415965,1.52686508931723,1.95327303436551,0.0999614997696388,4.29068385215415,0.900038500230361,1,1
31,2,0.983892026198399,0.079368037242109,3.56343669370589,3.26687458961253,1.72925458858407,3.39780136553899,0.984989350994694,3.22966326922954,0.0150106490053065,1,1
