"id","test_nr","blok","typ","error","correct","age","rt","gain","peak_velocity"
"Q6",2,1,"p",0,58,0,220.120689655172,0.769155172413793,372.620689655172
"Q6",2,2,"a",6,33,0,271.153846153846,0.758230769230769,382.871794871795
"Q6",2,3,"a",6,33,0,255.641025641026,0.750948717948718,385.769230769231
"Q6",2,4,"a",8,31,0,272.538461538462,0.722205128205128,360.871794871795
"Q6",2,5,"p",0,59,0,215.491525423729,0.747847457627119,377.186440677966
"Q9",2,1,"p",0,60,0,245.6,0.873083333333333,333.216666666667
"Q9",2,2,"a",1,39,0,273.05,0.8739,312.4
"Q9",2,3,"a",2,38,0,270.425,0.849225,308.625
"Q9",2,4,"a",0,40,0,271.1,0.8531,306.325
"Q9",2,5,"p",0,60,0,224.6,0.865616666666667,332.483333333333
"U1",2,1,"p",1,55,1,286.589285714286,0.623571428571429,209.75
"U1",2,2,"a",5,29,1,300.411764705882,0.591852941176471,186.5
"U1",2,3,"a",4,35,1,350.589743589744,0.560230769230769,173.871794871795
"U1",2,4,"a",4,33,1,317.891891891892,0.609459459459459,178.594594594595
"U1",2,5,"p",0,51,1,292.333333333333,0.646254901960784,202.529411764706
"V1",2,1,"p",1,45,1,376.739130434783,0.627717391304348,172.086956521739
"V1",2,2,"a",3,34,1,371.486486486487,0.642405405405405,185.702702702703
"V1",2,3,"a",1,36,1,425.945945945946,0.568054054054054,159.810810810811
"V1",2,4,"a",5,27,1,377.5625,0.60571875,250.71875
"V1",2,5,"p",0,47,1,330.63829787234,0.648085106382979,177.765957446808
"Y0",2,1,"p",1,59,1,377.083333333333,0.88895,268.6
"Y0",2,2,"a",0,38,1,556.394736842105,0.888973684210526,245.947368421053
"Y0",2,3,"a",1,39,1,536.5,0.8888,284.575
"Y0",2,4,"a",0,39,1,570.74358974359,0.904179487179487,237.307692307692
"Y0",2,5,"p",4,55,1,388.864406779661,0.843915254237288,295.525423728814
