"id","test_nr","blok","typ","error","correct","age","rt","gain","peak_velocity"
"E6",1,4,"a",4,35,0,307.307692307692,0.791128205128205,411.179487179487
"E6",1,5,"p",0,59,0,264.203389830508,0.817152542372881,300.949152542373
"F3",1,1,"p",1,57,1,328.448275862069,0.764241379310345,276.672413793103
"F3",1,2,"a",4,34,1,409.578947368421,0.693289473684211,230.263157894737
"F3",1,3,"a",4,34,1,403.289473684211,0.792842105263158,254.736842105263
"F3",1,4,"a",4,35,1,410.025641025641,0.727717948717949,235.512820512821
"F3",1,5,"p",0,59,1,342.71186440678,0.831949152542373,275.389830508475
"F4",1,1,"p",2,55,1,393.19298245614,0.853912280701754,235.438596491228
"F4",1,2,"a",1,36,1,401.162162162162,0.526243243243243,162.837837837838
"F4",1,3,"a",6,31,1,388.216216216216,0.54127027027027,161.945945945946
"F4",1,4,"a",6,30,1,415.472222222222,0.576805555555556,157.916666666667
"F4",1,5,"p",1,53,1,391.314814814815,0.747518518518518,192.092592592593
"F5",1,1,"p",7,39,1,296.45652173913,0.682369565217391,302.086956521739
"F5",1,2,"a",12,24,1,310.666666666667,0.541166666666667,261.638888888889
"F5",1,3,"a",9,20,1,300.758620689655,0.43948275862069,292.793103448276
"F5",1,4,"a",12,23,1,325.285714285714,0.632542857142857,446.571428571429
"F5",1,5,"p",11,34,1,288.888888888889,0.666111111111111,449.888888888889
"F6",1,1,"p",13,39,1,281.346153846154,0.761461538461538,262.903846153846
"F6",1,2,"a",15,21,1,304.722222222222,0.575,193.916666666667
"F6",1,3,"a",10,27,1,293.081081081081,0.805216216216216,218.513513513514
"F6",1,4,"a",23,12,1,239.057142857143,0.675685714285714,242.6
"F6",1,5,"p",9,45,1,207.833333333333,0.743203703703704,237.351851851852
"F9",1,1,"p",3,53,1,372.232142857143,0.8505,291.696428571429
"F9",1,2,"a",4,34,1,337.157894736842,0.825789473684211,273.368421052632
"F9",1,3,"a",7,32,1,326.128205128205,0.950846153846154,278.923076923077
"F9",1,4,"a",1,37,1,364.815789473684,0.968973684210526,282.657894736842
"F9",1,5,"p",5,50,1,348.890909090909,0.807363636363636,275.036363636364
"H0",1,1,"p",5,33,1,268.394736842105,0.749868421052632,257.657894736842
"H0",1,2,"a",13,15,1,253.107142857143,0.735214285714286,307.964285714286
"H0",1,3,"a",22,12,1,281.735294117647,0.915235294117647,251.088235294118
"H0",1,4,"a",14,18,1,284.15625,0.85803125,227
"H0",1,5,"p",6,34,1,249.05,0.896675,303.425
"H6",1,1,"p",3,54,1,321.105263157895,0.800719298245614,283.122807017544
"H6",1,2,"a",8,30,1,374.842105263158,0.658184210526316,248.973684210526
"H6",1,3,"a",9,27,1,352.083333333333,0.639083333333333,241.972222222222
"H6",1,4,"a",8,31,1,354.025641025641,0.689564102564103,242.307692307692
"H6",1,5,"p",3,53,1,275.142857142857,0.749535714285714,256.232142857143
"I1",1,1,"p",0,55,0,295.2,0.878945454545455,296.472727272727
"I1",1,2,"a",2,35,0,291.675675675676,0.852567567567568,281.351351351351
"I1",1,3,"a",0,40,0,300.325,0.828575,318.95
"I1",1,4,"a",0,38,0,353.526315789474,0.773342105263158,416.947368421053
"I1",1,5,"p",0,58,0,304.206896551724,0.809448275862069,274.896551724138
"I5",1,1,"p",0,59,0,240.101694915254,0.898220338983051,423.762711864407
"I5",1,2,"a",5,35,0,262.35,0.807575,343.075
"I5",1,3,"a",5,35,0,295.9,0.739125,609.35
"I5",1,4,"a",7,31,0,250.578947368421,0.745052631578947,706.894736842105
"I5",1,5,"p",1,57,0,236.586206896552,0.775310344827586,410.327586206897
"K4",1,1,"p",1,57,0,298.793103448276,0.733948275862069,363.086206896552
"K4",1,2,"a",2,37,0,345.128205128205,0.731,278.410256410256
"K4",1,3,"a",2,38,0,327.525,0.6907,314.05
"K4",1,4,"a",4,35,0,314.333333333333,0.661717948717949,282.538461538462
"K4",1,5,"p",0,58,0,273.672413793103,0.763775862068966,292.413793103448
"L4",1,1,"p",0,59,0,297.016949152542,0.773033898305085,314.169491525424
"L4",1,2,"a",3,36,0,328.179487179487,0.80725641025641,325.589743589744
"L4",1,3,"a",3,37,0,329.675,0.600975,251.825
"L4",1,4,"a",3,35,0,344.842105263158,0.700868421052632,283.815789473684
"L4",1,5,"p",1,57,0,305.758620689655,0.722241379310345,286.379310344828
"L7",1,1,"p",3,56,1,231.135593220339,0.602949152542373,232.169491525424
"L7",1,2,"a",18,21,1,321.076923076923,0.549923076923077,202.307692307692
"L7",1,3,"a",21,16,1,312.189189189189,0.528756756756757,202.432432432432
"L7",1,4,"a",15,18,1,314.787878787879,0.375333333333333,240.727272727273
"L7",1,5,"p",12,40,1,254.096153846154,0.588692307692308,383.673076923077
"M5",1,1,"p",4,50,1,239.648148148148,0.821537037037037,332.666666666667
"M5",1,2,"a",12,26,1,294.131578947368,0.766789473684211,321.368421052632
"M5",1,3,"a",3,35,1,316.842105263158,0.751473684210526,335.026315789474
"M5",1,4,"a",9,30,1,304.564102564103,0.736897435897436,308.74358974359
"M5",1,5,"p",3,55,1,246.034482758621,0.849189655172414,353.913793103448
"N0",1,1,"p",3,53,1,347.357142857143,0.77125,242.232142857143
"N0",1,2,"a",17,20,1,501.783783783784,0.668324324324324,209.108108108108
"N0",1,3,"a",19,16,1,359.6,0.642657142857143,258.742857142857
"N0",1,4,"a",9,28,1,416.513513513513,0.659891891891892,265.702702702703
"N0",1,5,"p",5,44,1,362.530612244898,0.730857142857143,244.673469387755
"N1",1,1,"p",2,58,0,289.2,0.78585,448.1
"N1",1,2,"a",10,27,0,335.918918918919,0.678405405405405,469.243243243243
"N1",1,3,"a",6,32,0,353.157894736842,0.797447368421053,449.684210526316
"N1",1,4,"a",11,28,0,301.102564102564,0.832179487179487,422.769230769231
"N1",1,5,"p",6,53,0,265.491525423729,0.783542372881356,362.559322033898
"N3",1,1,"p",0,60,0,271.1,0.784266666666667,239.116666666667
"N3",1,2,"a",2,38,0,332.25,0.7535,262.175
"N3",1,3,"a",3,37,0,297.025,0.8315,328.575
"N3",1,4,"a",8,28,0,255.972222222222,0.635861111111111,212.222222222222
"N3",1,5,"p",0,60,0,231.6,0.839033333333333,252.866666666667
"N6",1,1,"p",4,50,1,255.592592592593,0.605074074074074,244.87037037037
"N6",1,2,"a",13,22,1,313.171428571429,0.708314285714286,255
"N6",1,3,"a",16,16,1,304.90625,0.6121875,251.125
"N6",1,4,"a",15,23,1,309.605263157895,0.582289473684211,257.473684210526
"N6",1,5,"p",10,43,1,254.830188679245,0.494641509433962,250.584905660377
"N9",1,1,"p",0,60,1,289.25,0.845116666666667,339.3
"N9",1,2,"a",0,40,1,342.375,0.825675,284.15
"N9",1,3,"a",3,37,1,318.225,0.861975,312.675
"N9",1,4,"a",1,39,1,334.85,0.83665,298.775
"N9",1,5,"p",1,59,1,252.783333333333,0.854166666666667,316.983333333333
"P0",1,1,"p",1,59,0,274.366666666667,0.889316666666667,394.883333333333
"P0",1,2,"a",2,38,0,346.75,0.84205,360.8
"P0",1,3,"a",2,37,0,311.051282051282,0.803179487179487,340.128205128205
"P0",1,4,"a",2,38,0,341.625,0.782725,336.35
"P0",1,5,"p",0,59,0,308.847457627119,0.868694915254237,373
"Q6",1,1,"p",0,58,0,247.413793103448,0.728913793103448,353.068965517241
"Q6",1,2,"a",4,36,0,247.65,0.671225,322.65
"Q6",1,3,"a",8,32,0,263.575,0.707375,372.1
"Q6",1,4,"a",3,36,0,297.51282051282,0.731794871794872,340.974358974359
"Q6",1,5,"p",1,58,0,220.084745762712,0.717016949152542,359.305084745763
"Q9",1,1,"p",0,60,0,266.033333333333,0.86735,336.7
"Q9",1,2,"a",1,39,0,317.275,0.8739,321.225
"Q9",1,3,"a",2,38,0,305.175,0.892825,308.1
"Q9",1,4,"a",0,40,0,270.675,0.855975,309
"Q9",1,5,"p",0,59,0,227.864406779661,0.848203389830508,330.28813559322
"U1",1,1,"p",3,55,1,257.810344827586,0.682120689655172,222.51724137931
"U1",1,2,"a",3,37,1,302.275,0.634575,190.125
"U1",1,3,"a",2,37,1,335.666666666667,0.65225641025641,189.435897435897
"U1",1,4,"a",6,33,1,319.666666666667,0.626512820512821,206.230769230769
"U1",1,5,"p",0,57,1,298.298245614035,0.643701754385965,211.052631578947
"V1",1,1,"p",0,58,1,325.01724137931,0.811793103448276,206.344827586207
"V1",1,2,"a",3,36,1,416.666666666667,0.711794871794872,199.512820512821
"V1",1,3,"a",4,34,1,399,0.543578947368421,165.210526315789
"V1",1,4,"a",5,29,1,377.676470588235,0.501441176470588,153.735294117647
"V1",1,5,"p",0,47,1,321.276595744681,0.645382978723404,178.31914893617
"Y0",1,1,"p",1,56,1,356.842105263158,0.892228070175439,270.263157894737
"Y0",1,2,"a",1,37,1,469.026315789474,0.891,235.631578947368
"Y0",1,3,"a",3,34,1,473.459459459459,0.839594594594595,242.351351351351
"Y0",1,4,"a",1,36,1,530.27027027027,0.825459459459459,250.432432432432
"Y0",1,5,"p",0,57,1,408.245614035088,0.86219298245614,274.228070175439
"A0",2,1,"p",2,56,1,324.103448275862,0.791103448275862,300.224137931034
"A0",2,2,"a",3,37,1,412.175,0.8854,317.425
"A0",2,3,"a",4,36,1,410.2,0.801575,285.95
"A0",2,4,"a",5,33,1,430.105263157895,0.643657894736842,347.736842105263
"A0",2,5,"p",3,52,1,286,0.739945454545455,300.254545454545
"A2",2,1,"p",0,60,0,240.6,0.8234,273.2
"A2",2,2,"a",5,35,0,272.15,0.824025,277.7
"A2",2,3,"a",5,34,0,274.641025641026,0.801948717948718,201.410256410256
"A2",2,4,"a",9,31,0,264.85,0.82785,242.975
"A2",2,5,"p",0,60,0,220.333333333333,0.855283333333333,269.416666666667
"A4",2,1,"p",0,59,1,359.491525423729,0.822440677966102,403.830508474576
"A4",2,2,"a",3,30,1,387.30303030303,0.696666666666667,267.666666666667
"A4",2,3,"a",2,36,1,393.973684210526,0.709921052631579,342.815789473684
"A4",2,4,"a",2,36,1,418.026315789474,0.709342105263158,332.263157894737
"A4",2,5,"p",1,58,1,343.983050847458,0.767559322033898,317.28813559322
"A9",2,1,"p",4,55,1,415.220338983051,0.633254237288136,209.186440677966
"A9",2,2,"a",2,37,1,400.282051282051,0.464282051282051,191.871794871795
"A9",2,3,"a",2,36,1,371.526315789474,0.529184210526316,213.078947368421
"A9",2,4,"a",4,35,1,340.974358974359,0.552948717948718,206.384615384615
"A9",2,5,"p",1,58,1,379.28813559322,0.662169491525424,204.457627118644
"B0",2,1,"p",0,56,1,297.410714285714,0.693339285714286,283.660714285714
"B0",2,2,"a",8,28,1,320.305555555556,0.738583333333333,259.055555555556
"B0",2,3,"a",7,32,1,376,0.699076923076923,244
"B0",2,4,"a",7,30,1,385.351351351351,0.825351351351351,270.513513513513
"B0",2,5,"p",8,50,1,335.534482758621,0.790655172413793,271.224137931034
"C0",2,1,"p",0,60,0,281.85,0.804566666666667,293.466666666667
"C0",2,2,"a",0,40,0,316.225,0.731425,294.725
"C0",2,3,"a",1,38,0,304.384615384615,0.743487179487179,262.564102564103
"C0",2,4,"a",2,38,0,320.325,0.711175,291.275
"C0",2,5,"p",0,59,0,252.864406779661,0.784389830508475,277.203389830508
"C1",2,1,"p",0,60,0,251.883333333333,0.875933333333333,283.116666666667
"C1",2,2,"a",6,32,0,302.394736842105,0.807552631578947,257.210526315789
"C1",2,3,"a",6,34,0,308.5,0.77075,283.625
"C1",2,4,"a",6,33,0,300.076923076923,0.869564102564103,278
"C1",2,5,"p",1,57,0,257.724137931034,0.889913793103448,292.224137931034
"C2",2,1,"p",1,59,1,256.733333333333,0.785583333333333,365.633333333333
"C2",2,2,"a",1,39,1,336.8,0.774575,380.025
"C2",2,3,"a",3,37,1,337.325,0.7862,359.225
"C2",2,4,"a",0,40,1,350,0.82975,368.65
"C2",2,5,"p",0,60,1,284.65,0.7799,362.066666666667
"C7",2,1,"p",1,58,0,282.64406779661,0.812101694915254,269.779661016949
